Category,Message,Hint
Places/Attractions,Eiffel Tower,
Places/Attractions,Colosseum,
Places/Attractions,Statue of Liberty,
Places/Attractions,Machu Picchu,
Places/Attractions,Taj Mahal,
Places/Attractions,Great Pyramid,
Places/Attractions,Great Wall of China,
Places/Attractions,Grand Canyon,
Places/Attractions,Stonehenge,
Places/Attractions,Central Park,
Idioms,A blessing in disguise,
Idioms,A dime a dozen,
Idioms,Bite the bullet,
Idioms,Speak of the devil,
Idioms,Under the weather,
Idioms,Spill the beans,
Idioms,on the fence,
Movie Titles,The Godfather,
Movie Titles,The Dark Knight,
Movie Titles,Pulp Fiction,
Movie Titles,Forrest Gump,
Movie Titles,The Lion King,
Movie Titles,Braveheart,
Toys and Games,My Little Pony,
Toys and Games,Twister,
Toys and Games,Monopoly,
Toys and Games,Barbie,
Toys and Games,Playing cards,